"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.129360757E0,1.070208192E0,5.242104530E0,1.077989292E1
4.139359077E0,1.078587890E0,5.014655590E0,9.963470459E0
4.149399737E0,1.148019671E0,4.891354084E0,8.890868187E0
4.159375567E0,1.274912357E0,4.868608952E0,8.018181801E0
4.169365982E0,1.368286252E0,4.893748283E0,7.472303391E0
4.179765689E0,1.466448545E0,4.890156746E0,7.066486359E0
4.189547043E0,1.473631144E0,4.774038315E0,6.669048786E0
4.199468720E0,1.412579060E0,4.735731125E0,6.332663536E0
4.209425558E0,1.375468850E0,4.777629375E0,6.011840343E0
4.219607477E0,1.413776159E0,4.829104900E0,5.431246758E0
4.229478437E0,1.476025343E0,4.768052578E0,4.905719280E0
4.239702917E0,1.517923832E0,4.446032524E0,4.689043999E0
4.249519657E0,1.568202138E0,3.524264812E0,4.126406670E0
4.259419027E0,1.470039845E0,3.303998232E0,4.446032524E0
4.269368212E0,1.426944256E0,3.205836058E0,4.918887615E0
4.279392304E0,1.428141356E0,3.002328873E0,5.257667065E0
4.289379850E0,1.322796464E0,2.699462414E0,5.494692802E0
4.299377123E0,1.188721180E0,2.371456861E0,5.471948147E0
4.309350760E0,1.175553083E0,1.923741102E0,5.598840714E0
4.319324578E0,1.170764685E0,1.537077546E0,5.409698963E0
4.329316987E0,1.243787766E0,1.185129881E0,4.927267075E0
4.339303192E0,1.201889277E0,8.822633028E-1,4.991910458E0
4.349372294E0,1.283292055E0,6.081272364E-1,4.965574265E0
4.359433345E0,1.347935557E0,4.094084799E-1,5.151124954E0
4.369363371E0,1.313219666E0,2.023100406E-1,5.726930618E0
4.379373884E0,9.852139950E-1,-3.471592441E-2,6.700173378E0
4.389340140E0,6.823474765E-1,-3.818751574E-1,7.496245384E0
4.399348268E0,5.051765442E-1,-8.702923059E-1,8.166622162E0
4.409341332E0,2.334346622E-1,-1.345541358E0,8.895656586E0
4.419332364E0,3.555389643E-1,-1.441309452E0,9.285911560E0
4.429412880E0,6.476315856E-1,-1.233013868E0,9.373299599E0
4.439353638E0,1.031900883E0,-9.289502501E-1,9.562441826E0
4.449336017E0,1.314416766E0,-6.320692301E-1,9.868899345E0
4.459303707E0,1.368286252E0,-4.632780254E-1,1.028908157E1
4.469315052E0,1.333570361E0,-3.615244627E-1,1.089361763E1
4.479293724E0,1.205480576E0,-3.004723191E-1,1.151850414E1
4.489299060E0,1.057040095E0,-2.166752517E-1,1.209430981E1
4.499297228E0,1.076193690E0,-1.065419763E-1,1.264138508E1
4.509288812E0,1.238999367E0,1.328781992E-1,1.312860489E1
4.519281604E0,1.519120932E0,5.793967843E-1,1.359188271E1
4.529370000E0,1.784877419E0,1.060631394E0,1.398572922E1
4.539435198E0,1.917755604E0,1.440112352E0,1.452801609E1
4.549406797E0,1.695094824E0,1.584961534E0,1.528578091E1
4.559367097E0,1.369483352E0,1.626860023E0,1.584003830E1
4.569337747E0,1.097741485E0,1.696291924E0,1.561737728E1
4.579315072E0,8.810662031E-1,1.783680320E0,1.496016979E1
4.589296734E0,7.278373241E-1,1.970427990E0,1.432570553E1
4.599344565E0,7.661445141E-1,2.436100245E0,1.333809757E1
4.609325481E0,7.948749661E-1,2.838326216E0,1.317888355E1
4.619297439E0,9.277531505E-1,3.336320162E0,1.295263100E1
4.629577918E0,1.107318282E0,3.788824081E0,1.277546024E1
4.639457657E0,1.307234168E0,4.145560265E0,1.214458847E1
4.649447027E0,1.155202270E0,4.246116638E0,1.161546993E1
4.659377212E0,9.193734527E-1,4.319139957E0,1.156519127E1
4.669353304E0,7.134721279E-1,4.368220806E0,1.158554173E1
4.679321350E0,5.123591423E-1,4.440047264E0,1.138682365E1
4.689333873E0,4.596867263E-1,4.605247021E0,1.107916832E1
4.699314635E0,5.985504389E-1,4.860229492E0,1.082777691E1
4.709430516E0,8.607155085E-1,5.124788761E0,1.048540592E1
4.719415956E0,1.012747288E0,5.303156853E0,1.010113716E1
4.729360676E0,9.911994934E-1,5.446808815E0,9.955090523E0
4.739341036E0,9.361328483E-1,5.475539207E0,9.721655846E0
4.749339216E0,9.481038451E-1,5.377377033E0,9.024943352E0
4.759323806E0,9.648633003E-1,5.234921932E0,8.257601738E0
4.769531601E0,8.559271097E-1,5.001487255E0,7.572859764E0
4.779417999E0,8.379706144E-1,4.882974148E0,7.094019413E0
4.789371698E0,9.732429981E-1,4.891354084E0,6.764816761E0
4.799336547E0,1.143231273E0,4.938041210E0,6.551733017E0
4.809361472E0,1.127668977E0,4.951209068E0,6.265625954E0
4.819332434E0,1.085770488E0,4.873397350E0,5.633556366E0
4.829319415E0,1.169567585E0,4.697423935E0,4.663905144E0
4.839326406E0,1.334767461E0,4.570530891E0,3.708618402E0
4.849310901E0,1.504755735E0,4.487931252E0,3.056198359E0
4.859311149E0,1.714248419E0,4.435258865E0,2.764105797E0
4.869319773E0,1.905784607E0,4.294000626E0,2.839523315E0
4.879312585E0,2.043451071E0,3.991134167E0,3.232172251E0
4.889318491E0,2.051830769E0,3.519476414E0,3.926490784E0
4.899314944E0,1.808819413E0,2.882618904E0,4.602852821E0
4.909376670E0,1.447294950E0,2.209848166E0,5.067327976E0
4.919330033E0,1.001973391E0,1.708262920E0,5.322310448E0
4.929349215E0,7.625532150E-1,1.448492050E0,5.475539207E0
4.939324806E0,7.278373241E-1,1.291671872E0,5.448006153E0
4.949336101E0,1.294066072E0,1.259350061E0,5.863399982E0
4.959355749E0,1.654393315E0,1.386242747E0,6.691793919E0
4.969373573E0,1.874659896E0,1.274912357E0,7.298723698E0
4.979324985E0,1.863885999E0,8.750807047E-1,7.684190273E0
4.989378191E0,1.493981838E0,4.369418025E-1,8.106766701E0
4.999370794E0,1.025915384E0,4.070143029E-2,8.203732491E0
5.009390095E0,6.069301367E-1,-3.950432837E-1,8.367734909E0
5.019349246E0,3.327940404E-1,-7.541735172E-1,8.738836288E0
5.029331821E0,3.196259141E-1,-9.768342972E-1,9.327810287E0
5.039328609E0,5.231330991E-1,-1.085770488E0,1.014782429E1
5.049382503E0,8.774749041E-1,-9.409212470E-1,1.069609642E1
5.059365450E0,1.198297977E0,-5.578489900E-1,1.091037750E1
5.069381923E0,1.509544134E0,-1.807622313E-1,1.120845509E1
5.079350660E0,1.714248419E0,1.197100850E-3,1.171243477E1
5.089365028E0,1.636436820E0,4.548983276E-2,1.213860226E1
5.099316712E0,1.319205165E0,-8.499415964E-2,1.267849541E1
5.109349054E0,8.236053586E-1,-2.920926213E-1,1.328901672E1
5.119362225E0,2.801215947E-1,-3.794809580E-1,1.379898167E1
5.129374811E0,4.453215301E-1,9.097966552E-2,1.405396366E1
5.140913604E0,7.098808289E-1,4.979939461E-1,1.397016716E1
5.150149000E0,7.015010715E-1,8.475474119E-1,1.397256088E1
5.159729198E0,5.267243981E-1,1.057040095E0,1.423592377E1
5.169547797E0,2.214636505E-1,1.225831270E0,1.411262226E1
5.179423097E0,-4.788403213E-2,1.363497853E0,1.390552330E1
5.189394747E0,-1.412578970E-1,1.613691926E0,1.370680428E1
5.200027072E0,-5.746084079E-2,2.047042370E0,1.335365963E1
5.209724734E0,1.316810995E-1,2.420537949E0,1.313339329E1
5.219519065E0,2.466027737E-1,2.817975283E0,1.311663437E1
5.229464731E0,1.759738177E-1,3.252522945E0,1.313818169E1
5.239399064E0,6.703764945E-2,3.521870613E0,1.307593250E1
5.249372230E0,8.619125932E-2,3.858256102E0,1.271321106E1
5.259384813E0,2.262520641E-1,4.282029629E0,1.223915863E1
5.269354605E0,7.888894677E-1,4.910507679E0,1.178066921E1
5.279317501E0,1.449689150E0,5.544970989E0,1.106480312E1
5.289309449E0,1.865083098E0,6.002263546E0,1.067454815E1
5.299288423E0,1.717839718E0,6.076483727E0,1.065060616E1
5.309315410E0,1.601720929E0,5.839457989E0,1.055483818E1
5.319291403E0,1.569399238E0,5.671864033E0,1.013106441E1
5.329376400E0,1.556231141E0,5.612008572E0,9.606734276E0
5.339339898E0,1.647210717E0,5.498284340E0,9.816226959E0
5.349347647E0,1.689109325E0,5.304353714E0,1.006163311E1
5.359329522E0,1.555034041E0,5.210979939E0,9.470264435E0
5.369508959E0,1.325190663E0,5.392939091E0,8.536525726E0
5.379385678E0,1.030703783E0,5.374982834E0,7.643488884E0
5.389946537E0,8.738836050E-1,5.185841084E0,6.740874767E0
5.399614967E0,7.086837292E-1,4.837484360E0,6.361393929E0
5.409471682E0,8.702923059E-1,4.611232281E0,6.403292656E0
5.419403039E0,1.161187768E0,4.479551315E0,6.319495201E0
5.429381718E0,1.508347034E0,4.498704910E0,6.095637321E0
5.439335057E0,1.654393315E0,4.739322186E0,5.297171116E0
5.449328227E0,1.711854219E0,5.286397457E0,4.049792290E0
5.459377312E0,1.635239720E0,5.506663799E0,3.059789658E0
5.469367354E0,1.282094955E0,5.266046524E0,2.844311714E0
5.479329375E0,-1.400607973E-1,3.336320162E0,5.130774021E0
5.489929386E0,-6.811503768E-1,2.780865192E0,6.489483833E0
5.499664391E0,-7.673416734E-1,2.905363798E0,6.062118530E0
5.509494394E0,-1.843535304E-1,3.417722940E0,4.809951305E0
5.519429895E0,7.326257229E-1,3.877409697E0,4.557363033E0
5.529473646E0,1.328781962E0,3.835511208E0,5.280411720E0
5.539404521E0,1.501164436E0,3.547009706E0,6.309918404E0
5.549376459E0,1.327584863E0,2.879027605E0,7.532158375E0
5.559407928E0,7.601590157E-1,2.475604534E0,7.872135162E0
5.569375662E0,2.693476975E-1,2.467224836E0,7.196970463E0
5.579397029E0,2.310404629E-1,2.685097218E0,6.465541840E0
5.589442713E0,3.315969408E-1,2.914940596E0,6.066906929E0
5.599399055E0,4.058171809E-1,2.920926094E0,7.055712223E0
5.610712226E0,-4.560954273E-1,2.505532026E0,1.062666416E1
5.620014811E0,-4.560954273E-1,2.505532026E0,1.062666416E1
5.629808104E0,-7.003039718E-1,2.251746655E0,1.186686039E1
5.639575750E0,-7.242460251E-1,2.499546528E0,1.210268974E1
5.649478573E0,-8.044517636E-1,2.686294317E0,1.063863564E1
5.659410985E0,-8.643068075E-1,3.367444754E0,9.332598686E0
5.669372691E0,-8.116343617E-1,3.945644379E0,8.291120529E0
5.679849544E0,-1.009155989E0,4.378994942E0,3.114856482E0
5.689602470E0,-9.265560508E-1,4.923676014E0,1.149216771E0
5.699477933E0,-1.704671621E0,4.027047157E0,7.597999096E0
5.709762665E0,-2.382230759E0,3.230975151E0,1.070327854E1
5.719527031E0,-2.671929121E0,3.417722940E0,1.110789871E1
5.729573714E0,-2.645592928E0,3.538630009E0,1.126232433E1
5.739469055E0,-2.703053713E0,3.816357613E0,1.143470764E1
5.749399226E0,-2.931699991E0,4.011485100E0,1.135689545E1
5.759355311E0,-3.010708570E0,4.003105164E0,1.106480312E1
5.769387354E0,-2.797624588E0,4.103661537E0,1.063743782E1
5.779326875E0,-2.659958124E0,4.417302132E0,9.708487511E0
5.789298136E0,-2.784456491E0,4.940435410E0,7.471106529E0
5.799358266E0,-2.925714493E0,4.570530891E0,6.154295444E0
5.809360831E0,-4.261679173E0,3.633201122E0,7.157465935E0
5.819409614E0,-3.836708307E0,2.452859640E0,1.205959415E1
