"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.549688670E-1,-7.114335895E-2,2.761268139E0,-9.913730621E-2,2.763962973E0
7.650091500E-1,5.983631611E-1,2.339426994E0,6.618309021E-2,2.415644290E0
7.751104680E-1,-1.720262766E-1,-2.663013935E0,1.727447510E-1,2.674149773E0
7.851202340E-1,-1.355412602E-2,-2.036721230E0,-2.553844452E-1,2.052714860E0
7.951300000E-1,-4.887065589E-1,1.332151890E-1,1.638889313E-2,5.068027063E-1
8.063299510E-1,2.872907817E-1,8.421958089E-1,9.453487396E-2,8.948556399E-1
8.153936720E-1,5.166670680E-1,2.468323946E0,-1.151771545E-1,2.524447214E0
8.254339550E-1,-1.427920163E-1,3.916178942E-1,1.565542221E-1,4.452677390E-1
8.355352730E-1,-2.861534059E-1,-3.093019485E0,-2.513504028E-2,3.106329841E0
8.456060740E-1,-9.319669008E-2,-6.350259781E-1,-1.533317566E-1,6.598895691E-1
8.556768750E-1,6.523430347E-3,1.334859371E0,1.404991150E-1,1.342248895E0
8.657171580E-1,1.775848866E-1,2.415742397E0,-1.847200394E-1,2.429293975E0
8.758184760E-1,1.670338511E-1,-6.642426848E-1,2.802705765E-1,7.400474632E-1
8.858892770E-1,3.037903607E-1,-3.093047380E0,1.766157150E-1,3.112944553E0
8.959295600E-1,-6.801122427E-1,3.317909241E-1,-5.380611420E-1,9.285190749E-1
9.060003610E-1,1.161451936E-1,1.295672655E0,7.061862946E-2,1.302783300E0
9.161016790E-1,7.119446993E-2,5.130284429E-1,1.157159805E-1,5.307136929E-1
9.261114450E-1,2.774211764E-2,8.228353262E-1,5.284309387E-2,8.249969647E-1
9.361212110E-1,3.421463668E-1,-8.292934299E-1,-1.369686127E-1,9.074977300E-1
9.463140820E-1,-6.424595118E-1,-2.393945217E0,-8.000373840E-3,2.478667370E0
9.563848830E-1,2.872997522E-2,6.662119031E-1,-3.259687424E-1,7.422394036E-1
9.664251660E-1,1.411715746E-1,2.793501854E0,3.090572357E-2,2.797237420E0
9.764959670E-1,-2.459911108E-1,1.914643884E0,1.664180756E-1,1.937541691E0
9.865972850E-1,5.606791377E-1,-2.997261047E0,7.524585724E-2,3.050179801E0
9.966375680E-1,-1.519757509E-2,-1.717014790E0,-1.462745667E-2,1.717144349E0
1.007654414E0,-8.195188642E-1,1.015087366E0,-1.055612564E-1,1.308876124E0
1.016779170E0,7.433936596E-1,-2.164474130E-1,1.160831451E-1,7.829169255E-1
1.026849970E0,4.246873558E-1,2.140453815E0,3.063011169E-2,2.182393202E0
1.036951289E0,-8.467580080E-1,4.380322099E-1,8.978939056E-2,9.575664341E-1
1.046991572E0,5.706818104E-1,-3.239093304E0,2.083396912E-2,3.289048071E0
1.057062373E0,-2.190368772E-1,-7.501816750E-1,2.534675598E-2,7.819156969E-1
1.067163691E0,-3.355632722E-1,2.089125872E0,-2.757968903E-1,2.133802601E0
1.077203974E0,6.586614847E-1,2.467318058E0,-1.005458832E-1,2.555700066E0
1.087274775E0,-3.736156225E-2,-2.128278017E-1,4.385910034E-1,4.889311074E-1
1.097376093E0,-1.628200710E-1,-2.992850542E0,-1.719799042E-1,3.002206160E0
1.107446894E0,-1.770694554E-1,-5.786850452E-1,-3.988428116E-1,7.247796644E-1
1.117517695E0,-2.421125770E-2,8.234469891E-1,1.618013382E-1,8.395420191E-1
1.127557978E0,1.137280464E-1,8.827887177E-1,2.038593292E-1,9.131312145E-1
1.137659297E0,4.698263407E-1,1.849131107E0,9.696960449E-2,1.910347023E0
1.147730097E0,-3.709143996E-1,-1.142523050E0,2.140235901E-2,1.201413531E0
1.157770381E0,-3.684952855E-2,-3.042757988E0,-4.758930206E-2,3.043353217E0
1.167841181E0,2.281892300E-2,6.477212310E-1,-3.674030304E-2,6.491635743E-1
1.177911982E0,-2.550972700E-1,2.465490580E0,-6.560611725E-2,2.479520635E0
1.188013301E0,4.303646982E-1,1.940684676E0,-5.184078217E-2,1.988506538E0
1.198053584E0,2.598002255E-1,-2.555484772E0,3.994569778E-1,2.599531583E0
1.209039912E0,-3.633220494E-1,-1.578684092E0,-2.277603149E-1,1.635885428E0
1.218195185E0,-4.368507564E-1,1.225168705E0,-2.022323608E-1,1.316349067E0
1.228265986E0,4.022155404E-1,-4.478937984E-1,2.627668381E-1,6.568352965E-1
1.238367304E0,2.557323873E-1,1.391350865E0,-3.702735901E-2,1.415142152E0
1.248407588E0,6.553021073E-2,9.949216247E-1,1.024894714E-1,1.002330953E0
1.258875117E0,2.978923917E-2,-2.848887920E0,2.813405991E-1,2.862901031E0
1.268549189E0,-3.206793368E-1,-1.192871094E0,-5.090332031E-2,1.236271747E0
1.278619990E0,1.523095667E-1,2.310391665E0,-3.853778839E-1,2.347258818E0
1.288690791E0,-7.379859686E-2,2.521522999E0,6.662464142E-2,2.523482377E0
1.298914179E0,1.034065485E-1,-5.897625685E-1,1.905469894E-1,6.283477991E-1
1.308832392E0,4.187549353E-1,-2.876970291E0,-1.704874039E-1,2.912280843E0
1.318903193E0,-9.161396027E-1,-5.430585742E-1,-2.058839798E-1,1.084717751E0
1.329004511E0,1.020692587E-1,7.554902434E-1,-8.099079132E-2,7.666440829E-1
1.339136347E0,5.638575554E-1,1.102911115E0,3.105230331E-1,1.277017159E0
1.349268183E0,-3.535028398E-1,2.225672483E0,-2.714853287E-1,2.269864874E0
1.359400019E0,-8.192479610E-2,-1.396491289E0,-8.826637268E-2,1.401674194E0
1.369501338E0,3.547558188E-1,-3.045811892E0,2.919111252E-1,3.080265228E0
1.379633174E0,-6.343266964E-1,8.970262408E-1,-2.715253830E-1,1.131703348E0
1.389765010E0,6.320101023E-2,1.590384841E0,-1.305637360E-1,1.596986286E0
1.399896845E0,5.037171841E-1,2.011235714E0,1.382141113E-1,2.077956506E0
1.410852656E0,-1.738216877E-1,-2.515059948E0,3.592548370E-1,2.546527942E0
1.420435176E0,4.546621442E-2,-1.475384593E0,-4.002733231E-1,1.529393869E0
1.430292353E0,-5.832409859E-1,1.415871024E0,-1.662826538E-2,1.531384114E0
1.440698847E0,-1.234925091E-1,-1.136865616E-1,1.048622131E-1,1.979169468E-1
1.450525508E0,8.480428457E-1,5.954115391E-1,4.755783081E-2,1.037281696E0
1.460657343E0,-1.019334197E-1,6.745085716E-1,4.365634918E-2,6.835628077E-1
1.470789179E0,-3.155105412E-1,-2.032681704E0,4.509258270E-2,2.057516744E0
1.481195674E0,-1.106703281E-2,-1.482949257E0,8.120250702E-2,1.485212047E0
1.491174922E0,-1.246726513E-1,2.224375248E0,-3.218975067E-1,2.251001226E0
1.501306758E0,-3.085667193E-1,2.302406788E0,-1.832981110E-1,2.330212144E0
1.511438593E0,6.465699673E-1,-1.807258725E-1,3.638038635E-1,7.635887733E-1
1.521570429E0,2.616104484E-2,-2.927096844E0,9.825420380E-2,2.928862274E0
1.531702265E0,-6.730722189E-1,-3.901597261E-1,-3.320379257E-1,8.458723354E-1
1.541834101E0,3.619032204E-1,9.194881320E-1,2.159805298E-1,1.011474149E0
1.551965937E0,1.803161502E-1,1.424508095E-1,1.052055359E-1,2.527337570E-1
1.562067256E0,-1.531774998E-1,2.646498680E0,-1.540393829E-1,2.655399545E0
1.572199092E0,1.128735542E-1,-1.791629553E0,1.143560410E-1,1.798820224E0
1.582330927E0,9.927275777E-2,-3.008284330E0,1.383190155E-1,3.013098379E0
1.592462763E0,-4.785846770E-1,7.047491670E-1,-1.689062119E-1,8.684722159E-1
1.602594599E0,3.207935393E-1,2.205878735E0,2.780914307E-3,2.229084391E0
1.613641963E0,1.793402135E-1,1.694918513E0,1.606473923E-1,1.711934363E0
1.622858271E0,1.959299445E-1,-1.261505008E0,2.338218689E-2,1.276843825E0
1.632990107E0,-1.566103697E-1,-2.207700968E0,-2.773952484E-2,2.213422656E0
1.643121943E0,-7.629612684E-1,1.785376072E-1,-2.923917770E-1,8.363483279E-1
1.653070674E0,5.637301207E-1,8.935300708E-1,1.518793106E-1,1.067358872E0
1.663171992E0,4.112879038E-1,1.282060385E0,2.231931686E-1,1.364790006E0
1.671381220E0,4.112879038E-1,1.282060385E0,2.231931686E-1,1.364790006E0
1.681482539E0,-2.973166108E-1,9.292027950E-1,-4.750728607E-2,9.767660639E-1
1.691553340E0,1.505852640E-1,-2.527082920E0,-1.587476730E-1,2.536537962E0
1.701593623E0,-2.854929864E-1,-2.066747189E0,2.550344467E-1,2.101902176E0
1.711664424E0,-1.961191595E-1,1.768819690E0,-3.233985901E-1,1.808804154E0
1.721765742E0,4.306772351E-1,2.574277639E0,-3.199672699E-2,2.610251336E0
1.731836543E0,1.976059079E-1,9.893207550E-1,3.260679245E-1,1.060247114E0
1.741876826E0,-1.439172029E-2,-3.213040829E0,5.308818817E-2,3.213511606E0
1.751947627E0,-1.795354486E-2,-1.039176226E0,-1.569681168E-1,1.051117761E0
1.762018427E0,-5.178428888E-1,9.632822275E-1,-6.783676147E-2,1.095753500E0
1.772119746E0,2.000955641E-1,1.240144372E-1,8.832740784E-2,2.514349745E-1
1.782190547E0,4.370246530E-1,1.614986658E0,5.240154266E-2,1.673893179E0
1.792230830E0,-2.926897407E-1,1.817774773E-1,2.172946930E-2,3.452281932E-1
1.802332148E0,1.162945032E-1,-2.720756531E0,-9.587478638E-2,2.724927978E0
1.813348994E0,-7.504180074E-2,-8.943754435E-2,1.121416092E-1,1.618829414E-1
1.822443232E0,-3.861436248E-1,2.301432848E0,-2.138729095E-1,2.343382528E0
1.832544551E0,3.320363760E-1,1.580726266E0,3.929138184E-4,1.615222535E0
1.842584834E0,5.055372715E-1,-1.469094515E0,3.440732956E-1,1.591286605E0
1.852655635E0,-3.039877117E-1,-2.288614273E0,-3.480720520E-2,2.308977124E0
1.862756953E0,-2.163279355E-1,2.802881598E-1,-1.910314560E-1,4.023086444E-1
1.872827754E0,2.919460237E-1,9.334340096E-1,1.063718796E-1,9.837919026E-1
1.882898554E0,-1.402777433E-2,6.650926471E-1,-8.256912231E-3,6.652918038E-1
1.892938838E0,1.131584644E-1,1.378896952E0,2.557468414E-2,1.383768661E0
1.903009638E0,1.307890117E-1,-1.698342681E0,1.358060837E-1,1.708776439E0
1.913110957E0,-4.052992463E-1,-2.284543276E0,-1.001510620E-1,2.322377164E0
1.923181758E0,7.745766640E-2,1.572738647E0,-5.862426758E-2,1.575735812E0
1.933222041E0,-8.193323016E-2,1.777792811E0,1.579885483E-1,1.786678683E0
1.943323359E0,1.210018396E-1,1.179281831E0,3.063488007E-2,1.185869123E0
1.953394160E0,4.913128316E-1,-2.497093201E0,5.333232880E-2,2.545526878E0
1.963434443E0,-3.721218705E-1,-1.256087065E0,-1.879882812E-1,1.323468547E0
1.973505244E0,-8.133442998E-1,1.049254060E0,-3.252115250E-1,1.366830483E0
1.983576045E0,5.943086147E-1,3.610532284E-1,2.277708054E-1,7.317388216E-1
1.993677363E0,2.371768951E-1,1.424629450E0,-1.611127853E-1,1.453196229E0
2.003717646E0,-2.793293595E-1,1.620824337E-1,4.387187958E-2,3.259146333E-1
2.014734492E0,4.329891205E-1,-3.031980991E0,2.078914642E-1,3.069789434E0
2.023889765E0,-5.760620832E-1,-9.220165610E-1,-1.172580719E-1,1.093485948E0
2.033930049E0,-2.149069905E-1,2.370273352E0,-4.634151459E-1,2.424692635E0
2.044031367E0,3.234099448E-1,1.973044157E0,1.161670685E-1,2.002746121E0
2.054102168E0,1.280608177E-1,6.096863747E-2,2.181863785E-1,2.602345933E-1
2.064172968E0,-1.030211151E-1,-2.849102497E0,-1.674871445E-1,2.855879958E0
2.074213252E0,-1.464483440E-1,-7.180494666E-1,4.754829407E-2,7.343725173E-1
2.084284052E0,-3.550753295E-1,8.125556707E-1,8.530235291E-2,8.908432517E-1
2.094385371E0,4.749077857E-1,7.536543608E-1,-9.537696838E-3,8.908553575E-1
2.104425654E0,3.028438091E-1,1.887467623E0,1.140174866E-1,1.915006106E0
2.114496455E0,-2.378143370E-1,-9.116474390E-1,1.590442657E-2,9.422895854E-1
