"event","experiment time","system time","system time text"
"START",0.000000000E0,1629680582.600,"2021-08-22 22:03:02.600 UTC-03:00"
"PAUSE",5.833660419E0,1629680588.434,"2021-08-22 22:03:08.434 UTC-03:00"
