"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.178652342E0,7.456330955E-2,-7.044559717E-2,-1.359758377E-1
1.196891342E0,7.594925165E-2,-7.012581825E-2,-1.944961548E-1
1.217224342E0,7.822060585E-2,-1.050180197E-1,-1.438980103E-1
1.236848342E0,7.587489486E-2,-1.056386232E-1,-1.291551590E-1
1.246904342E0,7.037855685E-2,-1.057615280E-1,-1.026172638E-1
1.267050342E0,7.309918106E-2,-1.173219681E-1,-1.706209183E-1
1.286834342E0,6.948024035E-2,-1.349825263E-1,-2.014532089E-1
1.296852342E0,6.532776356E-2,-1.407747269E-1,-1.641559601E-1
1.306854342E0,5.390667915E-2,-1.451503038E-1,-1.196622849E-1
1.316923342E0,6.153163314E-2,-1.468744278E-1,-1.158561707E-1
1.326974342E0,5.157315731E-2,-1.555410028E-1,-1.443462372E-1
1.346825342E0,4.496335983E-2,-1.399634480E-1,-2.038240433E-1
1.357179342E0,4.269756377E-2,-1.390894651E-1,-2.036447525E-1
1.376984342E0,4.162618518E-2,-1.529318094E-1,-1.589193344E-1
1.387082342E0,3.597483039E-2,-1.488652229E-1,-1.311483383E-1
1.406938342E0,2.370896935E-2,-1.434637904E-1,-1.522321701E-1
1.426865342E0,1.950366795E-2,-1.238631010E-1,-1.734590530E-1
1.446973342E0,1.403947175E-2,-1.351338625E-1,-1.156368256E-1
1.467119342E0,-2.045884728E-3,-1.061272025E-1,-1.990919113E-1
1.487348342E0,-5.496948957E-3,-9.639847279E-2,-1.520805359E-1
1.507132342E0,-9.039819241E-3,-9.019613266E-2,-1.219015121E-1
1.527047342E0,-1.421964169E-2,-7.050836086E-2,-1.289548874E-1
1.546924342E0,-2.929049730E-2,-5.236631632E-2,-2.473678589E-1
1.566970342E0,-3.460213542E-2,-3.650492430E-2,-1.874008179E-1
1.586974342E0,-4.431347549E-2,-2.318567038E-2,-6.167507172E-2
1.606892342E0,-4.605101049E-2,-6.146907806E-3,-1.742506027E-1
1.617501342E0,-4.817366600E-2,5.137443542E-3,-2.341451645E-1
1.637021342E0,-4.626220465E-2,2.792334557E-2,-1.659736633E-1
1.656832342E0,-5.705069005E-2,6.086182594E-2,-8.344459534E-2
1.667564342E0,-5.551519990E-2,7.212638855E-2,-1.565637589E-1
1.687217342E0,-5.438230932E-2,7.609695196E-2,-1.867094040E-1
1.707009342E0,-6.072950363E-2,9.557372332E-2,-1.248168945E-1
1.717104342E0,-6.173798442E-2,9.575015306E-2,-1.285753250E-1
1.736833342E0,-5.110706389E-2,1.172983050E-1,-1.468915939E-1
1.747002342E0,-5.917094648E-2,1.268256903E-1,-1.506061554E-1
1.766915342E0,-5.241101980E-2,1.383409202E-1,-1.401691437E-1
1.777020342E0,-5.561749637E-2,1.465042531E-1,-1.260070801E-1
1.796976342E0,-5.367776752E-2,1.550405920E-1,-1.598911285E-1
1.816867342E0,-4.606121778E-2,1.652818918E-1,-1.470594406E-1
1.827088342E0,-4.454365373E-2,1.651680470E-1,-1.292924881E-1
1.837144342E0,-4.283253849E-2,1.728754044E-1,-1.187362671E-1
1.857055342E0,-3.399454057E-2,1.682728827E-1,-1.610584259E-1
1.876893342E0,-2.407845855E-2,1.835399568E-1,-1.854457855E-1
1.896871342E0,-7.408991456E-3,1.812118292E-1,-1.308059692E-1
1.916877342E0,-6.095856428E-3,1.628362238E-1,-1.096324921E-1
1.926942342E0,-9.719327092E-3,1.648831069E-1,-1.325712204E-1
1.946890342E0,1.389563084E-3,1.614459753E-1,-2.059221268E-1
1.966852342E0,1.914864779E-2,1.410246193E-1,-1.343765259E-1
1.976897342E0,1.905220747E-2,1.349696219E-1,-1.045570374E-1
1.997564342E0,2.750249207E-2,1.244734228E-1,-1.119537354E-1
2.016881342E0,5.014686286E-2,1.197095811E-1,-2.054929733E-1
2.026915342E0,5.282028019E-2,1.118992865E-1,-1.756563187E-1
2.047233342E0,5.738978088E-2,8.032751083E-2,-1.159286499E-1
2.066962342E0,7.095298171E-2,7.285937667E-2,-1.938095093E-1
2.086900342E0,8.102369308E-2,6.559517980E-2,-1.675291061E-1
2.106830342E0,8.287151158E-2,2.842003107E-2,-1.137094498E-1
2.116840342E0,8.834102750E-2,2.668172121E-2,-1.197376251E-1
2.126968342E0,8.914616704E-2,1.228320599E-2,-1.676330566E-1
2.146889342E0,9.015256166E-2,2.527534962E-3,-1.976003647E-1
2.166802342E0,9.675976634E-2,-2.501010895E-2,-1.305370331E-1
2.177286342E0,8.376602829E-2,-3.676933050E-2,-1.017856598E-1
2.197095342E0,9.644795954E-2,-5.338919163E-2,-1.651563644E-1
2.216866342E0,9.106372297E-2,-6.221097708E-2,-2.045507431E-1
2.226988342E0,8.676321805E-2,-8.591741323E-2,-1.277990341E-1
2.237079342E0,8.266054094E-2,-9.663766623E-2,-1.025648117E-1
2.256877342E0,8.877521753E-2,-1.088925600E-1,-1.705617905E-1
