"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.277279835E0,7.498160005E-1,-1.051177740E0,-3.713512421E-2
1.297282942E0,8.072671294E-1,-1.183987856E0,-5.769920349E-2
1.307283960E0,8.320130110E-1,-1.233505487E0,-6.883621216E-2
1.317310969E0,8.636322021E-1,-1.291501760E0,-8.937072754E-2
1.337285975E0,9.001185894E-1,-1.431289554E0,-1.476087570E-1
1.357401727E0,9.554378390E-1,-1.483399630E0,-1.808738708E-1
1.367412852E0,5.530942082E-1,-8.451710343E-1,-2.132968903E-1
1.377420415E0,3.213088214E-1,-4.826806784E-1,-2.130155563E-1
1.397341837E0,1.087234467E-1,-1.615992785E-1,-1.806411743E-1
1.417312192E0,7.873751223E-2,-1.918272972E-1,-1.955204010E-1
1.427334085E0,6.279999763E-2,-1.973307133E-1,-2.005901337E-1
1.439375531E0,3.347966075E-2,-2.257874012E-1,-2.355813980E-1
1.457326978E0,3.938816488E-2,-2.064322233E-1,-2.322463989E-1
1.477263978E0,5.671992898E-3,-2.021077871E-1,-2.482175827E-1
1.497274978E0,-3.462938964E-2,-1.888505220E-1,-2.507143021E-1
1.507457978E0,-4.635107517E-2,-1.869649887E-1,-2.309389114E-1
1.527195978E0,-1.140050590E-1,-1.574858427E-1,-2.260894775E-1
1.537250978E0,-1.353878379E-1,-1.732540131E-1,-1.979808807E-1
1.547306978E0,-1.439203918E-1,-1.463418007E-1,-2.099046707E-1
1.567238978E0,-1.935302764E-1,-1.294726133E-1,-2.242698669E-1
1.577351978E0,-2.156686932E-1,-1.241961718E-1,-2.042388916E-1
1.597347978E0,-2.480579466E-1,-9.185039997E-2,-1.879072189E-1
1.617326978E0,-2.899858952E-1,-8.758735657E-2,-1.225805283E-1
1.637232978E0,-3.217170537E-1,-6.109738350E-2,-1.490039825E-1
1.647511978E0,-3.402856588E-1,-4.840052128E-2,-1.402034760E-1
1.667258978E0,-3.593957424E-1,-2.936124802E-4,-1.549854279E-1
1.687241978E0,-3.922314346E-1,4.321837425E-2,-5.341243744E-2
1.697358978E0,-4.024615288E-1,6.263029575E-2,-4.204273224E-2
1.717231978E0,-4.127102494E-1,1.897511482E-1,-3.817749023E-2
1.737343978E0,-4.145843387E-1,2.795710564E-1,-4.885959625E-2
1.747555978E0,-4.164706171E-1,3.221714497E-1,6.423950195E-3
1.767198978E0,-4.090511799E-1,4.330829382E-1,4.724502563E-2
1.777318978E0,-4.038435519E-1,4.999991655E-1,5.788803101E-2
1.787509978E0,-3.836017847E-1,5.558653474E-1,4.714393616E-2
1.807347978E0,-3.601845801E-1,7.033017278E-1,3.078842163E-2
1.827357978E0,-3.431228697E-1,8.586139679E-1,6.778144836E-2
1.847319978E0,-3.120093942E-1,1.022462845E0,6.393623352E-2
1.867235978E0,-2.673096657E-1,1.187870145E0,6.331920624E-2
1.887355978E0,-2.254499346E-1,1.350218296E0,4.531669617E-2
1.907350978E0,-1.883863509E-1,1.567834139E0,7.513046265E-3
1.917375978E0,-1.562019289E-1,1.639886737E0,-1.060009003E-2
1.927736978E0,-1.340685189E-1,1.697296739E0,3.528594971E-5
1.947275978E0,-8.579242229E-2,1.814148426E0,-2.591133118E-3
1.957277978E0,-6.908789277E-2,1.857316256E0,2.920150757E-3
1.977208978E0,-1.054686308E-2,1.900864244E0,-8.205127716E-2
1.987407978E0,-3.212809563E-3,1.923144341E0,-8.408451080E-2
2.007412978E0,3.262925148E-2,1.943377733E0,-8.162689209E-2
2.027303978E0,5.493268371E-2,1.942011476E0,-6.222248077E-2
2.037315978E0,6.300827861E-2,1.939685702E0,-7.746887207E-2
2.047330978E0,7.838582993E-2,1.923578382E0,-1.048631668E-1
2.067242978E0,9.700685740E-2,1.864032269E0,-9.798908234E-2
2.077509978E0,9.446024895E-2,1.830469847E0,-7.578945160E-2
2.097358978E0,1.103368402E-1,1.703378201E0,-5.674266815E-2
2.117251978E0,1.069774032E-1,1.594244361E0,-5.834484100E-2
2.137231978E0,9.487098455E-2,1.446151257E0,4.488945007E-3
2.147274978E0,9.308254719E-2,1.375127912E0,6.013870239E-3
2.157637978E0,8.440002799E-2,1.291164398E0,-7.959365845E-3
2.177360978E0,8.941030502E-2,1.119450808E0,-4.014968872E-3
2.197342978E0,6.969892979E-2,9.560522437E-1,4.256725311E-2
2.217212978E0,7.175055146E-2,7.736610174E-1,6.455802917E-2
2.237282978E0,6.991179287E-2,6.047325134E-1,2.702236176E-2
2.257943978E0,6.215389073E-2,4.392780662E-1,8.296966553E-3
2.277511978E0,7.220950723E-2,2.806172371E-1,4.673957825E-2
2.297260978E0,8.066968620E-2,6.089657545E-2,-2.518081665E-2
2.307779978E0,7.972431183E-2,1.706957817E-3,-3.982353210E-2
2.327416978E0,6.908047199E-2,-9.128499031E-2,-6.492328644E-2
2.349169978E0,4.831483960E-2,-1.100158691E-1,-4.730606079E-2
2.367258978E0,4.173950851E-2,-1.187242270E-1,-1.011438370E-1
2.387297978E0,3.484237194E-2,-1.317478418E-1,-1.482486725E-1
2.399331978E0,5.160370469E-2,-1.563541889E-1,-1.663465500E-1
2.412479978E0,5.595335364E-2,-2.165085077E-1,-1.435098648E-1
2.427557978E0,6.108933687E-2,-2.308964729E-1,-1.421861649E-1
2.449457978E0,7.212585211E-2,-2.341110706E-1,-2.077054977E-1
2.467403978E0,7.931691408E-2,-2.345169783E-1,-2.519721985E-1
2.477755978E0,7.150778174E-2,-2.606631517E-1,-1.875047684E-1
2.497460978E0,8.896583319E-2,-2.703397274E-1,-2.212057114E-1
