"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.158355762E0,4.436010122E-2,1.897235811E-1,-5.652046204E-2
1.178426762E0,8.349531889E-2,2.591958642E-1,-2.320089340E-1
1.198316762E0,1.275898516E-1,2.848965228E-1,-6.828308105E-4
1.218189762E0,1.444026828E-1,3.131915927E-1,8.170127869E-3
1.228220762E0,1.242443621E-1,3.122182488E-1,-8.478450775E-2
1.248314762E0,9.542238712E-2,3.144359589E-1,-1.394081116E-1
1.258334762E0,8.724540472E-2,2.910257578E-1,-4.712867737E-2
1.268430762E0,7.358938456E-2,2.819163501E-1,4.267501831E-2
1.288267762E0,6.652873755E-2,2.602416277E-1,-3.525257111E-2
1.308298762E0,7.152873278E-2,2.599160075E-1,-1.588239670E-1
1.328350762E0,9.028142691E-2,2.595523596E-1,1.667881012E-2
1.348244762E0,1.104722023E-1,2.393156290E-1,-1.143884659E-1
1.368544762E0,9.274667501E-2,2.158109844E-1,-8.396530151E-2
1.388307762E0,7.090455294E-2,1.601951569E-1,1.698207855E-2
1.408268762E0,2.498233318E-2,1.210856736E-1,-7.849502563E-2
1.418383762E0,1.754719019E-2,8.828441799E-2,-1.628055573E-1
1.428409762E0,3.027200699E-3,7.797424495E-2,-1.453437805E-1
1.448291762E0,1.366090775E-2,4.508915544E-2,-6.221771240E-3
1.458393762E0,9.803533554E-3,3.105664253E-2,-1.505374908E-2
1.468395762E0,2.057451010E-2,1.490761340E-2,-9.090614319E-2
1.488406762E0,1.417714357E-2,-1.954885572E-2,-1.598472595E-1
1.508218762E0,1.643568277E-2,-6.133013964E-2,-1.088933945E-1
1.528481762E0,-4.268676043E-2,-1.146340817E-1,-1.188135147E-1
1.548271762E0,-6.865963340E-2,-1.626111269E-1,-2.256221771E-1
1.558354762E0,-8.414778113E-2,-1.894732267E-1,-1.766796112E-1
1.578169762E0,-9.036672115E-2,-2.249150127E-1,-1.208724976E-1
