"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.174010183E0,-1.086044461E-1,3.659094870E-2,-2.069301605E-1
1.184024787E0,-1.244081110E-1,3.278409317E-2,-1.542720795E-1
1.203998240E0,-1.302513331E-1,3.105582669E-2,-1.255569458E-1
1.223962353E0,-1.341468245E-1,4.535588995E-2,-7.527160645E-2
1.244000881E0,-1.257659942E-1,3.478610888E-2,-1.351079941E-1
1.254024636E0,-1.151393801E-1,4.159460962E-2,-1.650209427E-1
1.273942452E0,-1.115401611E-1,4.882979393E-2,-1.290645599E-1
1.284019921E0,-1.074685976E-1,4.560570419E-2,-1.517791748E-1
1.294060156E0,-9.932224452E-2,4.837537184E-2,-1.002683640E-1
1.304062773E0,-1.013219357E-1,5.349122733E-2,-1.301536560E-1
1.324026236E0,-9.322082251E-2,3.240084648E-2,-1.061143875E-1
1.343931852E0,-8.363976330E-2,3.639414161E-2,-1.311254501E-1
1.363987756E0,-6.262206286E-2,2.689639106E-2,-1.285657883E-1
1.374540073E0,-5.824550986E-2,3.035948798E-2,-1.284637451E-1
1.394098311E0,-2.952955663E-2,3.975647315E-2,-1.701211929E-1
1.413963121E0,-4.352644086E-3,1.745435596E-2,-8.603096008E-2
1.434003073E0,1.898856461E-2,1.523064449E-2,-1.802549362E-1
1.453936561E0,4.034294188E-2,2.574096620E-2,-9.965419769E-2
1.464019976E0,4.372051358E-2,1.076472178E-2,-1.197938919E-1
1.483937287E0,6.925554574E-2,-1.020783186E-2,-1.983547211E-1
1.503925365E0,8.174127340E-2,-1.377218589E-2,-1.500043869E-1
1.523927884E0,9.361760318E-2,-2.603624947E-2,-5.737495422E-2
1.533930137E0,1.046182066E-1,-2.118514664E-2,-1.313991547E-1
1.553909577E0,1.193014532E-1,-2.295232937E-2,-2.028932571E-1
1.573911937E0,1.420259774E-1,-1.550764777E-2,-1.679439545E-1
1.583956164E0,1.447211802E-1,-1.938685402E-2,-1.462478638E-1
1.594005277E0,1.478817165E-1,-3.291711211E-2,-1.497097015E-1
1.604077334E0,1.434408575E-1,-4.051833227E-2,-1.160726547E-1
1.624082126E0,1.472256035E-1,-3.886366263E-2,-1.673603058E-1
1.644004074E0,1.590756774E-1,-4.525097460E-2,-1.828584671E-1
1.664054811E0,1.456664354E-1,-4.726960137E-2,-1.601705551E-1
1.684084246E0,1.523537338E-1,-4.406440258E-2,-1.459455490E-1
1.694124318E0,1.433631331E-1,-4.150028899E-2,-2.130813599E-1
1.714091372E0,1.395988464E-1,-4.058637097E-2,-1.379327774E-1
1.724103881E0,1.308335364E-1,-3.703373671E-2,-1.213312149E-1
1.744180263E0,1.329990327E-1,-3.435142711E-2,-2.198524475E-1
1.764128359E0,1.094100475E-1,-3.531759232E-2,-1.591901779E-1
1.774204375E0,9.931376576E-2,-3.992289677E-2,-1.115112305E-1
1.793990137E0,7.362371683E-2,-3.655202687E-2,-1.334686279E-1
1.804102264E0,7.311592996E-2,-2.506205626E-2,-1.719894409E-1
1.824050859E0,4.239323735E-2,-2.571367286E-2,-1.556539536E-1
1.844129758E0,-1.427594423E0,8.088199615E0,1.015176773E-1
1.854202574E0,-2.778184414E0,4.009092808E0,2.006138802E0
1.874020686E0,-2.350410461E0,4.606571794E-1,-4.096860886E-1
1.893948214E0,-1.043807030E0,-1.264817595E0,1.273620605E0
1.913955596E0,-7.665818334E-1,-1.352055550E0,-2.587156296E0
1.924119993E0,-3.950292468E-1,-1.416837931E0,-3.632552147E0
1.943981791E0,3.322672248E-1,-1.073941469E0,3.260517120E-1
1.963995491E0,1.192587733E0,-1.123983145E0,6.634111404E-1
1.984448416E0,1.796793699E0,-7.003526688E-1,-2.207889557E-1
2.004116397E0,1.729880810E0,-9.356356859E-1,-4.588861465E-1
2.023987392E0,1.535441637E0,-1.176452518E0,-6.905078888E-2
2.044010391E0,8.103666306E-1,-1.651381969E0,-1.292494774E0
2.063941641E0,3.809118867E-1,-1.820583224E0,-4.562721252E-1
2.073945516E0,2.900934219E-1,-1.917749166E0,-6.612949371E-1
2.083948953E0,2.786535025E-1,-1.952115178E0,-5.027179718E-1
2.103954531E0,5.510770082E-1,-1.677232504E0,-4.082174301E-1
2.123904426E0,1.033312559E0,-1.326879501E0,-6.919727325E-1
2.143933899E0,1.365719914E0,-1.007567167E0,1.467342377E-1
2.163919518E0,1.447631240E0,-7.869741917E-1,-2.952280045E-1
2.174652454E0,1.337624788E0,-7.368251085E-1,-1.007499695E-1
2.194129406E0,8.793907762E-1,-7.551954985E-1,-5.762386322E-2
2.213965394E0,2.514731884E-1,-8.399659395E-1,7.884979248E-2
2.224302892E0,-1.748333573E-1,-8.004131317E-1,1.563682556E-1
2.234483641E0,-3.164564967E-1,-7.260364294E-1,-1.021003723E-2
2.254020953E0,-3.505033851E-1,-4.331542552E-1,2.363033295E-1
2.264047172E0,-2.652834356E-1,-2.346908897E-1,2.626523972E-1
2.274091781E0,-1.092385650E-1,-4.256665707E-4,2.454319000E-1
2.294045238E0,2.010684609E-1,4.604523480E-1,1.456975937E-1
2.304354814E0,2.918065190E-1,6.710718274E-1,9.196662903E-2
2.324169996E0,2.610649168E-1,9.435994029E-1,1.014995575E-2
2.344079292E0,-6.468821317E-2,1.057440877E0,2.894916534E-1
2.363980116E0,-5.815588236E-1,9.949734211E-1,-1.140975952E-1
2.383956822E0,-1.092327595E0,9.568316340E-1,-5.281639099E-2
2.403951748E0,-1.331507206E0,1.004043221E0,-1.013793945E-1
2.414112069E0,-1.235367060E0,1.187797070E0,-2.917108536E-1
2.434045060E0,-9.505484104E-1,1.447727799E0,-4.550437927E-1
2.453933308E0,-6.461090446E-1,1.697477937E0,-1.361217499E-1
2.463960849E0,-5.425413251E-1,1.780496478E0,-6.667499542E-1
2.483936755E0,-4.362793565E-1,1.847598433E0,-2.552156448E-1
2.504028232E0,-6.143382788E-1,1.729409695E0,-4.423980713E-1
2.524012851E0,-9.492263794E-1,1.491916060E0,-4.771442413E-1
2.543971256E0,-1.207462430E0,1.265691161E0,-1.220626831E-1
2.563958607E0,-1.280768514E0,1.072529197E0,-2.052450180E-1
2.583979695E0,-1.092173696E0,1.008120298E0,-3.249998093E-1
2.593985543E0,-8.964899778E-1,1.022813439E0,-7.872104645E-2
2.613965429E0,-3.090353906E-1,1.018064260E0,8.630466461E-2
2.623974410E0,-1.356136203E-1,9.723084569E-1,9.395790100E-2
2.643955145E0,3.329353780E-2,8.045144081E-1,1.511001587E-1
2.653996268E0,2.521440573E-2,6.462761164E-1,2.642326355E-1
2.664053329E0,-2.145529166E-2,4.656388760E-1,1.288309097E-1
2.684106125E0,-1.864905506E-1,7.660140842E-2,2.248287201E-1
2.704072574E0,-3.054296970E-1,-2.859824002E-1,1.689252853E-1
2.724012436E0,-2.258584201E-1,-5.526307225E-1,1.211566925E-1
2.743952402E0,7.036995888E-2,-6.861389875E-1,1.498975754E-1
2.754086396E0,2.639839053E-1,-7.099916339E-1,-2.820491791E-2
2.764130393E0,4.768180251E-1,-7.293223143E-1,-9.241390228E-2
2.784029391E0,8.535963297E-1,-7.755281925E-1,7.425308228E-3
2.803992891E0,1.054756522E0,-9.867792726E-1,-1.001119614E-1
2.823903266E0,9.788229465E-1,-1.198145509E0,-3.462133408E-1
2.833932828E0,8.949359655E-1,-1.324702263E0,-3.551788330E-1
2.843970109E0,8.256371021E-1,-1.422987938E0,-4.171638489E-1
2.854003250E0,7.314640284E-1,-1.510408759E0,-4.756412506E-1
2.864131820E0,6.897611022E-1,-1.590412855E0,-4.282712936E-1
2.883970748E0,6.933284998E-1,-1.650691271E0,-5.701608658E-1
2.894028569E0,7.549837232E-1,-1.621451855E0,-4.929141998E-1
2.913969185E0,9.587670565E-1,-1.490446925E0,-5.938701630E-1
2.924034788E0,1.075377345E0,-1.428177834E0,-4.722595215E-1
2.943967990E0,1.258317590E0,-1.286111116E0,-5.019731522E-1
2.954067690E0,1.289509058E0,-1.243864775E0,-3.716526031E-1
2.964087540E0,1.262749672E0,-1.193144083E0,-3.435058594E-1
2.974620465E0,1.190879226E0,-1.164383650E0,-3.316621780E-1
2.994292659E0,8.292356730E-1,-1.109020591E0,-2.971963882E-1
3.014388958E0,5.172399282E-1,-1.078660131E0,-2.550086975E-1
3.034051282E0,3.070079088E-1,-9.758188725E-1,2.943992615E-2
3.054124613E0,2.660400271E-1,-7.479131818E-1,-1.065540314E-2
3.064219502E0,3.043981194E-1,-5.911624432E-1,6.525039673E-3
3.084036168E0,3.709701896E-1,-2.517227530E-1,9.244155884E-2
3.103997335E0,3.936848342E-1,2.751551941E-2,1.907625198E-1
3.124275377E0,2.809182405E-1,2.824833691E-1,2.446680069E-1
3.144054637E0,1.934003830E-2,4.462360740E-1,9.493541718E-2
3.164026952E0,-3.350735903E-1,5.468593240E-1,1.306276321E-1
3.174042171E0,-4.973019958E-1,6.077299118E-1,8.526229858E-2
3.184505781E0,-6.789736748E-1,7.573688030E-1,2.006053925E-2
3.204176988E0,-7.886254191E-1,9.355837107E-1,-1.592807770E-1
3.224075290E0,-7.425876856E-1,1.178457260E0,-2.376079559E-2
3.234299840E0,-6.858229637E-1,1.296306610E0,-1.364479065E-1
3.254045753E0,-5.846148729E-1,1.504371047E0,-2.645654678E-1
3.274034731E0,-6.134158373E-1,1.620540738E0,-5.440111160E-1
3.294028476E0,-7.132252455E-1,1.666271925E0,-2.778263092E-1
3.304124433E0,-8.089287877E-1,1.628173709E0,-4.402980804E-1
3.324022651E0,-9.867161512E-1,1.536980391E0,-5.396881104E-1
3.343936206E0,-1.156299591E0,1.470247984E0,-2.742891312E-1
3.364125844E0,-1.128463030E0,1.416358948E0,-3.419475555E-1
3.384192004E0,-9.368606806E-1,1.368423700E0,-4.472904205E-1
3.403975294E0,-7.075514197E-1,1.365748763E0,-1.811046600E-1
3.423962366E0,-5.178382993E-1,1.297162533E0,-8.051109314E-2
3.444246134E0,-4.307891130E-1,1.116159320E0,-1.518592834E-1
3.464009326E0,-4.413617849E-1,8.619066477E-1,-8.487701416E-5
3.474839358E0,-4.649054706E-1,7.266187072E-1,7.963180542E-3
3.494401882E0,-4.880493283E-1,4.555328786E-1,7.427692413E-2
3.514116763E0,-4.186046124E-1,2.009474337E-1,1.173486710E-1
3.524294577E0,-3.357829452E-1,9.142490476E-2,1.133708954E-1
3.544182437E0,-8.605360985E-2,-7.175490260E-2,2.641878128E-1
3.564070152E0,2.919211686E-1,-3.033578992E-1,8.801651001E-2
3.584266331E0,5.023701191E-1,-4.700122476E-1,2.278518677E-2
3.604277876E0,5.990689993E-1,-7.008533478E-1,1.128454208E-1
3.614437633E0,6.395701170E-1,-8.153191805E-1,4.670429230E-2
3.634201701E0,6.031355858E-1,-1.043071985E0,-1.789112091E-1
3.653958218E0,6.051752567E-1,-1.236946702E0,-3.282747269E-1
3.664008804E0,6.305387020E-1,-1.324336648E0,-2.993831635E-1
3.674097097E0,6.657406092E-1,-1.393731117E0,-2.804822922E-1
3.694054317E0,8.039751053E-1,-1.376325488E0,-3.607559204E-1
3.713953372E0,9.749516249E-1,-1.335226536E0,-5.436267853E-1
3.723953881E0,1.081574440E0,-1.326528549E0,-6.335372925E-1
3.743961013E0,1.192899108E0,-1.335000038E0,-3.380584717E-1
3.763917046E0,1.172774434E0,-1.301710606E0,-5.576171875E-1
3.773923718E0,1.117349267E0,-1.316782713E0,-6.000719070E-1
3.784028554E0,1.031796813E0,-1.331589580E0,-4.294347763E-1
