"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.209132265E0,1.786100864E-2,-2.458787858E-1,-2.722930908E-2
1.228982265E0,1.801916361E-1,-2.728103995E-1,-2.367687225E-2
1.238987265E0,2.352774143E-1,-2.996436059E-1,-6.106472015E-2
1.249009265E0,2.668460608E-1,-4.028383791E-1,-1.537714005E-1
1.259010265E0,2.070405483E-1,-5.023606420E-1,-1.064462662E-1
1.269125265E0,1.489372253E-1,-5.828582048E-1,-9.522438049E-2
1.289050265E0,1.359084845E-1,-7.042838931E-1,-1.029558182E-1
1.299198265E0,2.091199160E-1,-6.758941412E-1,-1.181335449E-1
1.309389265E0,3.013795614E-1,-6.489990354E-1,-1.445798874E-1
1.329195265E0,3.824042678E-1,-6.101435423E-1,-2.078371048E-1
1.339494265E0,3.281379938E-1,-6.114271283E-1,-2.167634964E-1
1.359516265E0,1.915631294E-1,-6.552581787E-1,-2.197017670E-1
1.379063265E0,1.530816555E-1,-5.956620574E-1,-1.631126404E-1
1.389354265E0,1.857794523E-1,-5.297687650E-1,-1.756839752E-1
1.399496265E0,2.186638117E-1,-4.625377357E-1,-1.824769974E-1
1.419498265E0,2.460083961E-1,-3.439720571E-1,-2.098131180E-1
1.439027265E0,6.632983685E-2,-2.550013363E-1,-1.059837341E-1
1.449038265E0,-7.869482040E-3,-2.182078511E-1,-1.122074127E-1
1.468971265E0,6.802320480E-3,-8.298507333E-2,-9.472751617E-2
1.479039265E0,3.570032120E-2,1.526120305E-2,-1.010389328E-1
1.489328265E0,8.137607574E-2,1.045295596E-1,-1.206130981E-1
1.509335265E0,1.304459572E-2,2.356199920E-1,-9.375762939E-2
1.529154265E0,-1.371179223E-1,2.740412354E-1,-5.875873566E-2
1.549013265E0,-1.877838373E-1,3.437572718E-1,-4.128837585E-2
1.559018265E0,-1.681995392E-1,3.927723169E-1,-6.944656372E-2
1.569157265E0,-1.325806379E-1,4.377290905E-1,-1.035470963E-1
1.579216265E0,-1.047326922E-1,4.826143682E-1,-1.241550446E-1
1.589416265E0,-9.239315987E-2,5.076177120E-1,-1.061429977E-1
1.609166265E0,-1.493932009E-1,5.072153807E-1,-8.468532562E-2
1.619331265E0,-1.292441487E-1,7.719665170E-1,1.131809235E0
1.629331265E0,-1.117331505E0,2.896079063E0,-1.485640526E0
1.649091265E0,-2.981718063E0,1.234594822E0,2.002029419E-1
1.659127265E0,-2.751824379E0,1.202601194E0,-1.006340981E0
1.669431265E0,-2.333685637E0,7.144212127E-1,2.199125290E-1
1.689185265E0,-3.435065746E-1,3.334173560E-1,-4.008178711E-1
