"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.180468557E0,-1.093098521E-2,-1.437708735E-3,-1.675167084E-1
1.190777403E0,-1.993703842E-2,-1.006141305E-3,-1.614398956E-1
1.200864826E0,-1.974317431E-2,-1.616835594E-3,-1.373834610E-1
1.220637394E0,-2.629578114E-3,1.494809985E-3,-1.443367004E-1
1.230646822E0,8.537650108E-3,1.948794723E-2,-1.418418884E-1
1.240654536E0,2.150991559E-2,2.550289035E-2,-1.285419464E-1
1.260463821E0,4.790252447E-2,3.793312609E-2,-1.689519882E-1
1.270584535E0,6.222736835E-2,4.870584607E-2,-1.592082977E-1
1.290459071E0,6.522142887E-2,5.374658108E-2,-1.157655716E-1
1.310427455E0,5.980461836E-2,4.504126310E-2,-1.585807800E-1
1.330419301E0,4.133147001E-2,3.570267558E-2,-1.284294128E-1
1.350378512E0,2.924543619E-2,3.988261521E-2,-1.211204529E-1
1.360415381E0,3.290873766E-2,3.491006792E-2,-1.078729630E-1
1.380367532E0,5.493640900E-2,4.987519979E-2,-1.627635956E-1
1.400350070E0,6.797295809E-2,5.257096887E-2,-1.171169281E-1
1.420380205E0,6.996995211E-2,5.845971406E-2,-1.360635757E-1
1.440596738E0,5.609989166E-2,5.189378560E-2,-1.623106003E-1
1.460472622E0,4.152560234E-2,3.984943032E-2,-1.335716248E-1
1.480453593E0,2.557724714E-2,2.324490249E-2,-1.289110184E-1
1.490474421E0,1.998949051E-2,1.596303284E-2,-1.086263657E-1
1.510444792E0,8.956134319E-3,1.384219527E-2,-1.555271149E-1
1.520463521E0,1.901149750E-2,2.137453854E-2,-1.316652298E-1
1.540424317E0,3.980132937E-1,4.391089439E0,9.475564957E-1
1.550946783E0,1.599511504E-1,4.599103928E0,3.273048401E0
1.570511633E0,-2.955056429E-1,2.438711405E0,7.998476028E-1
1.590408595E0,-2.098776400E-1,5.026170015E-1,-5.648612976E-1
1.600534422E0,-1.145435870E-1,-3.653261364E-1,1.132493019E0
1.610577336E0,1.013394594E-1,-7.227684855E-1,4.719724655E-1
1.620640293E0,2.755582929E-1,-7.815706730E-1,-1.325260162E0
1.630645771E0,3.802978396E-1,-1.057972074E0,1.416778564E-1
1.651200130E0,6.656879187E-2,-1.200020552E0,-5.924367905E-1
1.670721220E0,1.893509030E-1,-1.519984603E0,-1.084335327E0
1.690452242E0,-7.010436058E-2,-1.818760037E0,8.224153519E-1
1.700481746E0,-2.908712626E-2,-1.872960925E0,-3.873147964E-1
1.710492498E0,-5.368512869E-2,-1.834178090E0,-1.920208931E0
1.730404812E0,-6.859320402E-2,-1.886998773E0,-8.921289444E-1
1.740561031E0,1.546072960E-1,-1.967149377E0,-7.353630066E-1
1.760458195E0,6.998008490E-2,-1.861568213E0,-8.290643692E-1
1.780377736E0,2.124958634E-1,-1.877370358E0,-1.099078178E0
1.790459493E0,1.923019886E-1,-1.824239135E0,-1.487881660E0
1.810368810E0,3.298497200E-2,-1.886936665E0,-1.265335083E-2
1.820669530E0,-1.608836651E-2,-1.809060693E0,-9.979419708E-1
1.840585570E0,-8.408421278E-2,-1.792430639E0,-6.574354172E-1
1.851167910E0,-1.911573708E-1,-1.691694975E0,-3.551883698E-1
1.870601165E0,-4.266691208E-2,-1.525791883E0,-5.020027161E-1
1.890444728E0,-3.739607334E-2,-1.299484491E0,1.566247940E-1
1.900788489E0,9.118843079E-2,-1.104588509E0,-5.192451477E-1
1.920572809E0,1.226105690E-1,-8.085569739E-1,2.954702377E-1
1.940540139E0,9.645420313E-2,-5.717149377E-1,2.027750015E-1
1.960575972E0,-2.494171262E-2,-2.963162363E-1,7.363319397E-2
1.983653930E0,-1.369215548E-1,-6.411331892E-2,4.436044693E-1
2.000818250E0,-1.386979520E-1,1.586115062E-1,3.836250305E-2
2.020329250E0,-2.107214928E-1,3.814634383E-1,5.209531784E-1
2.030425250E0,-1.790052950E-1,5.665705204E-1,4.177465439E-1
2.050394250E0,-3.515800834E-2,6.088359952E-1,3.108434677E-1
2.070478250E0,1.979452372E-2,7.212460041E-1,6.954765320E-1
2.090586250E0,7.519501448E-2,1.012202382E0,1.263628006E-1
2.101236250E0,-2.047425508E-2,1.137650251E0,5.769081116E-1
2.120501250E0,-6.610143185E-2,1.198692083E0,2.816381454E-1
2.130510250E0,-1.305616647E-1,1.277047515E0,2.467117310E-1
2.150374250E0,-1.825632751E-1,1.330841303E0,5.155954361E-1
2.160499250E0,-1.585841626E-1,1.403278112E0,2.143793106E-1
2.180521250E0,-1.069983840E-1,1.447058678E0,5.330724716E-1
2.200368250E0,5.462586880E-3,1.522533655E0,2.124090195E-1
2.210628250E0,6.854331493E-2,1.518943191E0,3.028383255E-1
2.230379250E0,8.145102859E-2,1.467278719E0,4.868736267E-1
2.240422250E0,1.095984578E-1,1.381110907E0,4.605445862E-1
