"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.538691300E-2,3.179413080E-2,2.435873449E-2,-1.319704056E-1
4.793985000E-2,1.024630666E-2,1.597902924E-2,-1.116199493E-1
5.963131900E-2,1.866608858E-3,-7.803849876E-4,-8.169269562E-2
7.005605300E-2,1.459777355E-3,2.450942993E-4,-6.828117371E-2
8.033292000E-2,4.066139460E-3,-6.164740771E-4,-1.541852951E-1
9.039335400E-2,5.978047848E-3,-1.384746283E-4,-2.214479446E-1
1.011295710E-1,4.910171032E-3,-2.925861627E-4,-1.756811142E-1
1.205817330E-1,-3.608167171E-4,-3.473708406E-3,-4.978179932E-3
1.403315240E-1,4.195898771E-3,2.959845588E-4,-1.490230560E-1
1.503781560E-1,4.205405712E-3,-7.249414921E-5,-1.615056992E-1
1.702928800E-1,1.697331667E-3,6.965640932E-3,-1.915130615E-1
1.902320610E-1,6.175637245E-4,-1.340471208E-4,-4.308795929E-2
2.102761060E-1,4.768878222E-3,-4.067718983E-4,-1.920051575E-1
2.204839470E-1,4.456400871E-3,2.741818316E-4,-1.653556824E-1
2.403265770E-1,7.039606571E-4,-1.169387251E-4,-5.000495911E-2
2.503381820E-1,1.668930054E-3,-3.335587680E-4,-9.155368805E-2
2.603399850E-1,4.588335752E-3,-4.766508937E-6,-1.291131973E-1
2.703473860E-1,4.587441683E-3,4.914682359E-4,-1.674098969E-1
2.803835870E-1,3.341972828E-3,-1.214366639E-4,-1.269531250E-1
3.002719870E-1,1.579686999E-2,6.186664104E-4,-1.142368317E-1
3.202620870E-1,2.068153024E-2,2.822412364E-2,-1.094474792E-1
3.402251120E-1,3.254359961E-2,2.514194511E-2,-1.489248276E-1
3.502519500E-1,2.961575985E-2,2.237384953E-2,-1.022205353E-1
3.702583280E-1,9.017050266E-3,1.151449047E-2,-1.775531769E-1
3.902291730E-1,-9.166806936E-3,-6.011221092E-3,-1.056098938E-1
4.002884800E-1,-1.493501663E-2,-4.160676617E-4,-8.519077301E-2
4.103196340E-1,-1.463472843E-3,1.815693686E-4,-1.557474136E-1
4.203982110E-1,-8.718371391E-4,9.438028559E-3,-1.748218536E-1
4.304584990E-1,1.764625311E-2,2.226695232E-2,-1.891069412E-1
4.404871430E-1,2.443662286E-2,2.170932479E-2,-1.794424057E-1
4.603236260E-1,5.253465474E-2,3.248999268E-2,-6.314182281E-2
4.703297070E-1,6.119215488E-2,4.414639249E-2,-1.396799088E-1
