"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.151854990E0,-3.080320358E-2,-1.118409634E-2,-1.565561295E-1
1.171775603E0,-4.411816597E-3,-2.480268478E-3,-2.016134262E-1
1.182201039E0,-1.495134830E-2,-1.521301270E-2,-1.546554565E-1
1.202030866E0,-2.254104614E-2,-3.683513403E-2,-5.228614807E-2
1.221757322E0,5.970358849E-3,-3.070503473E-2,-1.309194565E-1
1.231819398E0,2.152955532E-2,-2.374148369E-2,-2.037572861E-1
1.251699955E0,3.438055515E-2,-3.026723862E-2,-1.555624008E-1
1.261752715E0,2.377510071E-2,-3.615802526E-2,-1.182155609E-1
1.281737285E0,3.290903568E-2,-4.030841589E-2,-3.404331207E-2
1.302049927E0,7.421422005E-2,-4.663193226E-2,-1.713438034E-1
1.321774338E0,7.606482506E-2,-4.929196835E-2,-1.413259506E-1
1.331923406E0,6.587958336E-2,-5.305147171E-2,-1.005363464E-1
1.351807207E0,7.067871094E-2,-5.382996798E-2,-6.829833984E-2
1.371701408E0,1.068503857E-1,-3.491055965E-2,-1.726503372E-1
1.381735941E0,1.060547829E-1,-4.805052280E-2,-1.489562988E-1
1.392017708E0,1.010140181E-1,-2.754610777E-2,-1.072912216E-1
1.411824033E0,1.079037189E-1,-5.015677214E-2,-8.510303497E-2
1.421956254E0,1.090424061E-1,-3.301078081E-2,-9.147262573E-2
1.441729919E0,1.124904156E-1,-1.901042461E-2,-1.888027191E-1
1.461628336E0,1.127543449E-1,-1.802980900E-2,-1.104793549E-1
1.481620190E0,1.108750105E-1,-1.661807299E-2,-7.765769958E-2
1.492451832E0,1.208833456E-1,-1.894730330E-2,-1.140918732E-1
1.511977314E0,1.262667179E-1,-1.029932499E-2,-1.743135452E-1
1.531730684E0,1.122421026E-1,-4.840433598E-3,-9.448719025E-2
1.551914777E0,1.169422865E-1,-3.749430180E-3,-9.969425201E-2
1.571828800E0,1.110711098E-1,1.668053865E-2,-1.252918243E-1
1.591739806E0,1.148924828E-1,1.878488064E-2,-1.257572174E-1
1.612290057E0,1.035276651E-1,2.994024754E-2,-1.033658981E-1
