"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.181979502E0,8.591771126E-3,-7.612413168E-2,-9.130001068E-2
1.202151977E0,2.719366550E-2,-5.921971798E-2,-2.811737061E-1
1.221965096E0,1.334530115E-2,-8.439707756E-2,-1.619653702E-1
1.241874626E0,-7.527470589E-4,-9.882360697E-2,-1.075878143E-1
1.252071214E0,-1.159125566E-2,-9.840428829E-2,-1.648588181E-1
1.271899405E0,9.387075901E-3,-1.019294858E-1,-3.391752243E-1
1.282044104E0,-4.002213478E-3,-1.040108204E-1,-2.466602325E-1
1.292086953E0,-1.837062836E-2,-1.149563193E-1,-9.549999237E-2
1.311877090E0,-2.389037609E-2,-1.395261884E-1,-4.498291016E-2
1.321972946E0,-1.761132479E-2,-1.235724688E-1,-7.101917267E-2
1.341982338E0,-9.388744831E-3,-1.137245297E-1,-2.417726517E-1
1.361955936E0,-1.567453146E-2,-1.203166842E-1,-1.132373810E-1
1.381891586E0,-8.075773716E-3,-1.173397899E-1,-1.055498123E-1
1.401808248E0,-1.286464930E-2,-1.042189598E-1,-1.051187515E-1
1.411870525E0,7.638871670E-3,-9.936743975E-2,-1.696577072E-1
1.421955164E0,-2.722322941E-3,-1.016173959E-1,-1.325082779E-1
1.441888143E0,-1.388251781E-3,-9.994840622E-2,-1.396474838E-1
1.461976638E0,6.811320782E-3,-8.262997866E-2,-1.179800034E-1
1.481844511E0,6.581306458E-3,-7.564324141E-2,-6.524085999E-2
1.491845657E0,2.053868771E-2,-6.557065248E-2,-1.131153107E-1
1.511837016E0,3.368073702E-2,-4.126501083E-2,-2.784605026E-1
1.531809606E0,4.454028606E-2,-3.075575829E-2,-2.234973907E-1
1.541825704E0,3.417420387E-2,-4.081565142E-2,-6.796360016E-2
1.551878253E0,3.940409422E-2,-3.078085184E-2,3.755569458E-3
1.562039528E0,4.069370031E-2,-1.943087578E-2,-5.861282349E-3
1.572078165E0,4.873043299E-2,-1.302880049E-2,-7.896518707E-2
1.591915143E0,6.473517418E-2,2.744603157E-2,-2.695503235E-1
1.611838638E0,6.420803070E-2,2.748769522E-2,-1.500492096E-1
1.631809511E0,8.603733778E-2,5.216783285E-2,-2.173509598E-1
1.651811730E0,8.326345682E-2,6.155866385E-2,-1.304254532E-1
1.661869266E0,7.669365406E-2,6.700181961E-2,-2.653312683E-2
1.681805918E0,7.976138592E-2,8.172875643E-2,-7.981586456E-2
1.691834360E0,9.690284729E-2,9.470278025E-2,-2.141313553E-1
1.701846081E0,9.437060356E-2,9.982222319E-2,-2.524309158E-1
1.712127942E0,8.908200264E-2,1.065315604E-1,-1.879405975E-1
1.732093087E0,9.008771181E-2,1.061825752E-1,-6.030464172E-2
1.742125445E0,9.599149227E-2,1.079706550E-1,-1.945495605E-3
1.761939463E0,1.012358665E-1,1.199733019E-1,-1.127910614E-1
1.781875218E0,1.098663807E-1,1.314141154E-1,-2.411527634E-1
1.802002656E0,1.122182608E-1,1.243881583E-1,-1.135454178E-1
1.821959516E0,1.068122983E-1,1.338944435E-1,-9.500789642E-2
1.841821731E0,9.839731455E-2,1.303351521E-1,-1.422643661E-1
1.851942267E0,9.017288685E-2,1.288406849E-1,-8.752918243E-2
1.872112669E0,9.630382061E-2,1.202633381E-1,-1.227283478E-1
1.891918519E0,9.039074183E-2,1.260449886E-1,-1.671876907E-1
