"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.182512412E0,3.086328506E-2,3.640294075E-2,-1.139163971E-1
1.202290491E0,2.484261990E-2,1.560965180E-2,-9.800910950E-2
1.222269010E0,-3.710985184E-4,5.154371262E-3,-1.118717194E-1
1.232314597E0,1.009112597E-2,-2.047747374E-3,-9.420776367E-2
1.242318390E0,2.328670025E-2,2.839684486E-3,-8.369350433E-2
1.262297485E0,9.739881754E-2,2.988031507E-2,-1.347150803E-1
1.282310259E0,1.363897920E-1,3.542003036E-2,-1.299495697E-1
1.302280202E0,9.418797493E-2,1.602166891E-2,-1.299037933E-1
1.312532193E0,6.479734182E-2,6.386309862E-3,-1.256570816E-1
1.322545188E0,9.983015060E-2,1.459982991E-2,-1.299009323E-1
1.342333935E0,1.572176814E-1,3.887885809E-2,-1.328392029E-1
1.352358059E0,1.657792330E-1,4.527318478E-2,-1.494398117E-1
1.362436621E0,1.649206877E-1,3.261309862E-2,-1.421947479E-1
1.372473902E0,1.430433989E-1,1.889330149E-2,-1.326189041E-1
1.392376863E0,9.882622957E-2,5.965858698E-3,-1.243925095E-1
1.402415523E0,9.163439274E-2,-1.399040222E-3,-1.305761337E-1
1.422331018E0,1.179656982E-1,1.156705618E-2,-1.432542801E-1
1.432421601E0,1.331023574E-1,2.312237024E-2,-1.497621536E-1
1.452336538E0,1.276908517E-1,1.931157708E-2,-1.200199127E-1
1.462348861E0,1.001733541E-1,1.265811920E-2,-1.195745468E-1
1.472460522E0,5.717462301E-2,-4.469066858E-3,-1.215229034E-1
1.482651353E0,2.807253599E-2,-1.655623317E-2,-9.956932068E-2
1.502384476E0,5.245405436E-2,5.028724670E-3,-1.203823090E-1
1.522425507E0,4.912126064E-2,3.684461117E-3,-1.125135422E-1
1.542414514E0,-3.436446190E-3,-6.592780352E-3,-8.542251587E-2
1.552454849E0,-2.841681242E-2,-2.121785283E-2,-8.737373352E-2
1.572805350E0,-6.090557575E-2,-3.475168347E-2,-8.997821808E-2
1.592394975E0,-5.162632465E-2,-1.839590073E-2,-9.239006042E-2
1.612403381E0,-3.856772184E-2,5.466789007E-3,-8.745193481E-2
1.632327233E0,-6.885391474E-2,-1.419049501E-2,-7.985877991E-2
1.652542946E0,-1.167822480E-1,-3.100138903E-2,-7.895374298E-2
1.672341624E0,-9.664529562E-2,-1.890113950E-2,-8.374309540E-2
1.682412404E0,-5.496478081E-2,9.901046753E-3,-8.967018127E-2
1.702330739E0,-5.348175764E-2,2.528935671E-3,-8.932971954E-2
1.712416961E0,-6.478738785E-2,-8.285492659E-3,-7.707691193E-2
1.732324878E0,-8.356130123E-2,-1.584056020E-2,-7.629585266E-2
1.752310357E0,-5.659413338E-2,-1.344195008E-2,-1.003932953E-1
1.762331270E0,-2.644181252E-2,-1.078754663E-3,-9.981632233E-2
1.782276455E0,1.624751091E-2,2.184915543E-2,-9.003639221E-2
1.792399819E0,1.831215620E-2,2.408307791E-2,-7.730102539E-2
1.812337592E0,1.330971718E-3,2.941936255E-3,-1.007938385E-1
1.822355388E0,-7.263839245E-3,-7.370173931E-3,-1.011238098E-1
1.832379786E0,1.419645548E-2,1.573115587E-3,-1.074190140E-1
1.852268334E0,8.125615120E-2,2.432036400E-2,-1.152029037E-1
1.862283759E0,9.977835417E-2,3.159675002E-2,-1.120357513E-1
1.872323971E0,-1.835143089E0,3.536194563E-2,3.689346313E-1
1.882328077E0,-2.252066135E0,-3.500819206E-3,1.942052841E-1
1.902339907E0,-1.951919079E0,2.566617727E-2,9.380722046E-2
1.912353545E0,-9.580779076E-1,1.006640494E-1,4.519815445E-1
1.932242524E0,8.487731814E-1,2.653462291E-1,2.148551941E-1
1.942286854E0,1.092426062E0,2.524689734E-1,-2.970762253E-1
1.952291519E0,1.137817502E0,1.770990491E-1,-1.258468628E-1
1.962324351E0,9.843833447E-1,1.489683986E-2,-2.521228790E-1
1.972795767E0,7.832956910E-1,-1.502677798E-1,-3.034133911E-1
1.992399829E0,7.279381752E-1,-2.750612497E-1,-5.276861191E-1
2.012361595E0,1.342941880E0,6.075084209E-3,-4.488906860E-1
2.032257036E0,1.792558432E0,2.210429609E-1,-4.453725815E-1
2.042291610E0,1.678760409E0,1.424885988E-1,-2.477521896E-1
2.052313897E0,1.363820553E0,-3.308093548E-2,-4.884548187E-1
2.062323040E0,1.051379442E0,-2.035835087E-1,-3.932781219E-1
2.072332612E0,8.795727491E-1,-2.631601691E-1,-3.540830612E-1
2.092308291E0,1.232999206E0,1.407742500E-3,-2.753067017E-1
2.112259710E0,1.348112226E0,1.430952251E-1,-2.528543472E-1
2.122323447E0,1.201578140E0,8.936834335E-2,-1.076574326E-1
2.142318999E0,5.810758471E-1,-1.279476881E-1,-5.160522461E-2
2.152399591E0,2.795183659E-1,-2.060517073E-1,-8.996963501E-2
2.162428887E0,1.243492365E-1,-2.181800902E-1,2.689361572E-4
2.182428859E0,2.096292973E-1,-4.531085491E-3,1.073541641E-1
2.202364602E0,3.045850098E-1,1.916152239E-1,6.744289398E-2
2.222344288E0,-1.906983852E-1,6.167867780E-2,3.986549377E-2
2.232410236E0,-5.489283800E-1,-6.753110886E-2,1.182746887E-1
2.252404197E0,-9.711210132E-1,-1.471456885E-1,2.225980759E-1
2.272453937E0,-6.899204850E-1,1.466527879E-1,2.033004761E-1
2.282463560E0,-6.770337820E-1,1.796454489E-1,1.388549805E-1
2.302555778E0,-9.341055155E-1,1.169313490E-1,4.991912842E-2
2.322466832E0,-1.350898504E0,-3.586807847E-2,1.274728775E-1
2.342401596E0,-1.423650146E0,-4.276472330E-2,1.998329163E-1
2.362393037E0,-1.031463027E0,1.461901665E-1,1.720561981E-1
2.382432397E0,-8.044725657E-1,2.182033658E-1,9.583187103E-2
2.392441290E0,-8.719912767E-1,1.495763958E-1,7.115936279E-2
2.412336960E0,-1.069781899E0,-3.632852435E-2,1.562891006E-1
2.422809572E0,-1.018442750E0,-5.610251427E-2,2.368965149E-1
2.442952531E0,-3.924021423E-1,1.415336430E-1,1.509151459E-1
2.462474270E0,-7.337236404E-2,1.634883285E-1,-1.064300537E-3
2.482411205E0,-1.711338758E-2,3.097435832E-2,3.718852997E-2
2.502327189E0,5.437386036E-2,-5.900681019E-2,8.162021637E-2
2.522283185E0,2.422009110E-1,-8.524388075E-3,-4.152488708E-2
2.532451184E0,4.990520477E-1,4.871681333E-2,-1.515531540E-1
2.542463184E0,7.225786448E-1,8.497682214E-2,-2.270374298E-1
2.562405434E0,8.864354491E-1,5.811274052E-2,-3.016014099E-1
2.572440309E0,8.435243964E-1,-2.827939391E-2,-2.913789749E-1
2.582495746E0,7.975171208E-1,-9.034976363E-2,-2.690067291E-1
2.602420074E0,8.877698183E-1,-1.097230911E-1,-3.139858246E-1
2.622458406E0,1.154875875E0,-1.742893457E-2,-4.617958069E-1
2.642381739E0,1.220784903E0,-6.465256214E-3,-4.359960556E-1
2.662327822E0,1.001854777E0,-8.026501536E-2,-3.083295822E-1
2.682350343E0,8.419849873E-1,-1.327808499E-1,-2.960700989E-1
2.702353973E0,8.949690461E-1,-2.996769547E-2,-3.402814865E-1
2.712482578E0,9.148371816E-1,2.321940660E-2,-2.928342819E-1
2.722702381E0,8.623319864E-1,5.003044009E-2,-2.459239960E-1
2.742451233E0,5.028340220E-1,-6.114125252E-3,-6.735038757E-2
2.752587708E0,2.795600295E-1,-6.358346343E-2,9.477615356E-3
2.772317815E0,-1.378160715E-2,-8.901041746E-2,1.340579987E-2
2.792285591E0,-9.102457762E-2,1.944747567E-2,-7.919311523E-3
2.802288887E0,-1.460096836E-1,7.991173863E-2,1.177120209E-2
2.822235359E0,-2.455025017E-1,5.665904284E-2,1.397647858E-1
2.832268271E0,-3.556669652E-1,-9.999930859E-3,2.271394730E-1
2.852279705E0,-6.586754918E-1,-4.601177573E-2,1.447277069E-1
2.872326314E0,-4.006939232E-1,5.316784978E-2,8.441066742E-2
2.882431249E0,-3.803399205E-1,1.115699112E-1,1.098213196E-1
2.892925716E0,-4.285282195E-1,1.444612443E-1,1.324529648E-1
2.912658817E0,-6.725357771E-1,8.367115259E-2,1.795454025E-1
2.932619342E0,-8.725594282E-1,-3.732681274E-3,1.435041428E-1
2.952508723E0,-7.815019488E-1,3.220069408E-2,8.825969696E-2
2.962621453E0,-6.787973046E-1,8.186802268E-2,9.783077240E-2
2.982652501E0,-4.848780930E-1,1.380786002E-1,1.467351913E-1
3.002548013E0,-4.139654636E-1,9.711793065E-2,2.012786865E-1
3.012607598E0,-4.463955760E-1,1.109161973E-2,1.537799835E-1
3.022631891E0,-3.621256948E-1,-1.773506403E-2,1.194772720E-1
3.032678537E0,-2.022780180E-1,9.199678898E-3,9.838199615E-2
3.052453022E0,1.863148212E-1,1.035352349E-1,1.430664062E-1
3.072369643E0,4.466680288E-1,1.006678641E-1,1.668815613E-1
3.092357298E0,5.494301319E-1,3.429055214E-3,7.875823975E-2
3.102792741E0,6.222209334E-1,-4.625248909E-2,3.094863892E-2
3.122496073E0,5.230222940E-1,-3.293916583E-2,-9.723663330E-2
3.142354406E0,3.825264573E-1,1.730874181E-2,-1.881179810E-1
3.152384295E0,3.360364437E-1,1.514250040E-2,-2.228488922E-1
3.162386239E0,4.249523282E-1,9.380400181E-3,-2.592916489E-1
3.172405211E0,4.587522745E-1,-2.249920368E-2,-3.279161453E-1
3.182460197E0,4.484456778E-1,-8.341011405E-2,-3.891305923E-1
3.192749190E0,4.474464059E-1,-1.292105317E-1,-5.078763962E-1
3.203449187E0,4.698833823E-1,-1.498215199E-1,-5.162582397E-1
3.222853684E0,7.215313911E-1,-4.702359438E-2,-4.649972916E-1
3.242436309E0,7.873359323E-1,-2.564257383E-2,-4.599590302E-1
3.262641715E0,6.238219738E-1,-1.109142005E-1,-4.946002960E-1
3.282415566E0,4.575151801E-1,-1.433408558E-1,-4.626865387E-1
3.302349529E0,4.248341918E-1,-7.036122680E-2,-3.273649216E-1
3.322344770E0,3.647639751E-1,2.174854279E-3,-2.128305435E-1
3.342354830E0,1.190853119E-1,-2.816566825E-2,-1.727476120E-1
3.362341095E0,-2.337266207E-1,-7.926723361E-2,-1.190309525E-1
3.372342139E0,-3.742476702E-1,-8.065453172E-2,-6.955432892E-2
3.382382161E0,-4.803427756E-1,-6.372582912E-2,-5.465507507E-3
3.402323678E0,-5.926308632E-1,5.116137862E-2,1.275463104E-1
3.422351807E0,-8.621721864E-1,4.485949874E-2,1.000137329E-1
3.432352995E0,-5.980682969E-1,7.886022329E-3,9.344673157E-2
3.452271136E0,-3.424959481E-1,-5.665361881E-3,1.308717728E-1
3.462376160E0,-2.726568580E-1,1.252278686E-2,1.669521332E-1
3.482360928E0,-3.588478565E-1,6.669110060E-2,1.882505417E-1
3.502466120E0,-4.360292554E-1,9.237369895E-2,1.201562881E-1
3.512478652E0,-5.064867139E-1,8.478832245E-2,9.526062012E-2
3.522580918E0,-5.778275728E-1,6.655234098E-2,7.433128357E-2
3.542370117E0,-6.666035652E-1,2.851447463E-2,1.136970520E-1
3.552387150E0,-6.451963186E-1,3.305503726E-2,1.451625824E-1
3.562409167E0,-5.791202188E-1,4.409778118E-2,1.672782898E-1
