"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.622950900E-2,3.122864664E-2,-7.052034140E-3,-2.609539032E-2
3.891057100E-2,2.883444726E-2,-1.543173939E-2,-2.762899399E-1
5.025860200E-2,6.089523435E-3,-2.263627946E-3,-2.834720612E-1
6.092011800E-2,-1.545828581E-2,-1.902303845E-2,-9.792137146E-2
7.155937600E-2,-6.693361700E-2,-2.740274742E-2,4.692745209E-2
8.164400500E-2,-1.004524380E-1,-4.057085514E-2,6.727886200E-2
1.017529760E-1,-1.086832881E-1,-4.678193107E-2,-3.320541382E-1
1.117918050E-1,-1.030452549E-1,-5.315584689E-2,-4.286527634E-1
1.318284260E-1,-7.985919714E-2,-7.844522595E-3,4.458694458E-1
1.516828320E-1,3.913280368E-2,1.428544521E-2,-5.648050308E-1
1.616912330E-1,8.763293922E-2,4.060203582E-2,-4.302854538E-1
1.815410330E-1,1.432307512E-1,7.514239848E-2,1.609516144E-2
2.015444830E-1,1.797302812E-1,8.618077636E-2,5.185985565E-2
2.115655580E-1,1.859027594E-1,8.529213071E-2,-3.642168045E-1
2.315236150E-1,1.228326559E-1,4.156646132E-2,-7.831287384E-2
2.514916290E-1,9.782499075E-2,1.898604631E-2,-6.542396545E-2
2.714501320E-1,1.047140658E-1,1.595297456E-2,-3.004398346E-1
2.814503830E-1,1.362576187E-1,2.320223302E-2,-2.748813629E-1
2.915450080E-1,1.476554275E-1,2.126257122E-2,-1.417284012E-1
3.114669770E-1,2.089859247E-1,4.810741544E-2,2.653121948E-2
3.315074690E-1,2.876725197E-1,7.507056743E-2,-2.842407227E-1
3.514660920E-1,2.973532081E-1,7.680355012E-2,-1.642322540E-1
3.717532480E-1,2.713521123E-1,4.317608476E-2,-1.813411713E-2
3.915752870E-1,2.244195044E-1,1.083838195E-2,-2.316856384E-1
4.115610470E-1,1.442603171E-1,-3.502605483E-2,-1.722955704E-1
4.315197370E-1,1.215886772E-1,-4.995412380E-2,-1.131191254E-1
4.514824090E-1,1.544055343E-1,-3.859864920E-2,-1.918334961E-1
4.614960210E-1,1.687582135E-1,-2.432120964E-2,-2.414617538E-1
4.814702300E-1,1.834595650E-1,-2.226199582E-2,-1.875772476E-1
4.915244320E-1,1.865055710E-1,-1.366408914E-2,-5.177402496E-2
5.114793330E-1,1.670697033E-1,-1.957712695E-2,-1.667175293E-1
5.314495580E-1,9.675036371E-2,-5.322562903E-2,-1.605615616E-1
5.415730960E-1,4.700788856E-2,-7.394505292E-2,-1.227254868E-1
5.614967490E-1,-2.503898740E-2,-1.132730916E-1,-1.367053986E-1
5.814686620E-1,-7.500982285E-2,-1.293418258E-1,-1.326265335E-1
6.014558910E-1,-6.905174255E-2,-1.134211943E-1,-7.100963593E-2
6.114782620E-1,-5.624815822E-2,-1.109733507E-1,-1.359663010E-1
6.216424480E-1,-4.524640739E-2,-8.695089817E-2,-1.829853058E-1
6.415140870E-1,-2.306796610E-2,-7.435931265E-2,-1.056509018E-1
6.614797470E-1,-3.417287767E-2,-7.638153434E-2,-1.180362701E-1
6.714861900E-1,-4.940657318E-2,-7.409200817E-2,-3.799533844E-2
6.914390230E-1,-1.014793813E-1,-9.134150296E-2,-1.531667709E-1
7.014708280E-1,-1.399630606E-1,-1.032223105E-1,-2.765493393E-1
